A,20210406,130.57,131.86,129.87,131.04,1623100
AA,20210406,31.66,33.07,31.1,31.31,6202800
AAC,20210406,9.86,9.87,9.8,9.85,242800
AAC.U,20210406,10.01,10.07,10.01,10.03,90600
AAC.W,20210406,1.15,1.18,1.02,1.06,34800
AAI-B,20210406,23.78,23.78,23.74,23.78,400
AAI-C,20210406,23.55,23.7,23.52,23.59,16100
AAIC,20210406,4.05,4.13,4.05,4.05,132100
AAN,20210406,26.53,27.18,25.89,26.01,239000
AAP,20210406,181.26,184.47,180.68,183.65,901400
AAQ.U,20210406,9.98,9.99,9.97,9.99,3100
AAT,20210406,32.49,33.18,32.49,33.02,257500
AB,20210406,40.98,41.38,40.44,40.75,396600
ABB,20210406,31.24,31.42,31.14,31.16,1780500
ABBV,20210406,105.85,106.28,104.88,105.38,8521600
ABC,20210406,117.01,117.93,115.77,115.99,795700
ABEV,20210406,2.72,2.8,2.72,2.76,12201800
ABG,20210406,196.77,199.77,195,196.39,75000
ABM,20210406,52,52.7,51.51,51.88,281200
ABR,20210406,15.94,16.09,15.87,15.87,1193600
ABR-A,20210406,25.93,25.93,25.83,25.83,1200
ABR-B,20210406,25.704,25.704,25.704,25.704,600
ABR-C,20210406,25.79,25.84,25.79,25.84,5700
ABT,20210406,120.01,122.01,119.6,119.97,5146200
AC,20210406,35.3,35.3,33.24,33.46,37400
ACA,20210406,64.87,66.18,64.47,64.83,509600
ACB,20210406,9.11,9.16,8.84,8.98,6786700
ACC,20210406,43.99,44.24,43.8,44.1,961600
ACCO,20210406,8.62,8.69,8.48,8.5,362200
ACEL,20210406,11.23,11.58,11.02,11.25,139000
ACH,20210406,10.65,10.77,10.57,10.57,80300
ACI,20210406,18.7,18.7,18.37,18.66,1537200
ACI.S,20210406,10.25,10.45,10.25,10.36,113600
ACI.T,20210406,0.88,1.12,0.88,1.12,25600
ACI.U,20210406,10.86,11.2999,10.66,11.005,2100
ACI.W,20210406,1.89,1.92,1.82,1.9,218700
ACIC,20210406,10.1,10.35,10.1,10.22,1517900
ACII,20210406,10.28,10.28,10.01,10.13,163100
ACM,20210406,65.76,67.31,65.76,66.47,1205200
ACN,20210406,281.43,283.05,279.65,281.63,1786600
ACN.U,20210406,10.5,10.5,10.5,10.5,11000
ACN.W,20210406,1.22,1.28,1.22,1.27,36300
ACND,20210406,9.93,9.98,9.9,9.95,299800
ACP,20210406,11.59,11.66,11.56,11.63,56000
ACR,20210406,15.19,15.62,15.17,15.61,51800
ACR-C,20210406,24.94,24.95,24.75,24.94,17000
ACRE,20210406,13.9,13.96,13.75,13.76,485600
ACV,20210406,32.29,32.85,32.29,32.59,59800
ADC,20210406,68.77,68.87,68.28,68.69,314300
ADCT,20210406,26.82,28.34,26.45,26.95,200300
ADE.U,20210406,9.97,9.98,9.95,9.98,33100
ADE.W,20210406,0.5699,0.5899,0.55,0.5899,18000
ADEX,20210406,9.68,9.71,9.66,9.71,117300
ADM,20210406,57.64,58.3,57.32,58.04,2013100
ADNT,20210406,43.06,44.23,42.9,43.12,573200
ADS,20210406,113.76,115.71,112.62,112.98,678700
ADT,20210406,8.89,9.11,8.82,9.02,2498600
ADX,20210406,18.72,18.8,18.66,18.75,203100
AEB,20210406,25.39,25.5,25.39,25.5,15300
AEE,20210406,81.29,81.77,80.75,81.5,1011000
AEFC,20210406,26.5,26.65,26.45,26.58,46300
AEG,20210406,4.86,4.89,4.79,4.81,1481400
AEL,20210406,32.51,32.52,31.85,31.9,523700
AEL-A,20210406,26.5,26.68,26.37,26.6,16700
AEL-B,20210406,27.61,27.74,27.55,27.55,36300
AEM,20210406,60.41,61.41,60.21,60.59,1375200
AENZ,20210406,2.33,2.44,2.33,2.41,1700
AEO,20210406,29.74,31,29.74,30.15,4576100
AER,20210406,58.76,60.74,58.76,59.01,674100
AES,20210406,27.26,28.01,27.13,27.82,5735700
AESC,20210406,105.09,106.09,104.3,106.09,98500
AEV.W,20210406,3.99,4.09,3.57,3.91,22300
AEVA,20210406,12.31,12.43,11.93,12.3,827600
AFB,20210406,14.25,14.34,14.25,14.33,88500
AFG,20210406,115.29,116.13,115,115.75,536900
AFGB,20210406,27.85,28,27.85,28,12900
AFGC,20210406,26.94,27.41,26.94,27.41,46000
AFGD,20210406,27.87,28.14,27.83,28.14,13200
AFGE,20210406,26.72,26.92,26.64,26.92,7300
AFI,20210406,5.28,5.42,5.22,5.33,126700
AFL,20210406,51.49,51.88,51.31,51.61,1975500
AFT,20210406,14.97,14.97,14.85,14.94,52100
AG,20210406,16.53,17.34,16.45,16.95,4236900
AGA.U,20210406,10,10,9.98,9.99,25000
AGA.W,20210406,0.48,0.5,0.45,0.47,3354100
