Year Mo Dy Hr Mn Sec      Lat       Long      Dep  Mag           RMS   dx    dy    dz   Np  Na Gap
2021 04 07 09 25 26.430  39.8032   22.0084    2.0  1.7          0.63  4.00  3.00  0.00  13   9 150
2021 04 07 09 06 41.600  39.7440   22.1531    2.0  2.2          0.84  2.00  2.00  0.00  17  12  58
2021 04 07 08 46 34.900  39.7734   22.0746    2.0  1.5          0.20  3.00  3.00  0.00  10   8  86
2021 04 07 07 08 18.580  36.4622   27.1623   10.0  4.0          1.04  3.00  3.00  0.00  16   4 103
2021 04 07 06 55 36.060  36.4919   27.1749   10.0  3.7          1.30  3.00  3.00  0.00  17  12 104
2021 04 07 05 04 01.750  39.6540   21.7834    2.0  2.1          2.95  7.00  3.00  0.00  12   6 215
2021 04 07 04 45 41.430  39.7537   22.0880    2.0  2.1          0.82  2.00  2.00  0.00  17  12  65
2021 04 07 01 56 05.980  39.8414   21.8152    7.0  1.4          1.00  7.00  5.00 10.00  10   6 168
2021 04 07 01 52 55.530  38.2571   22.1471    9.0  0.9          1.67  6.00  3.00  6.00  10   6 182
2021 04 07 01 38 25.120  38.2880   22.1198    2.0  1.5          0.60  3.00  2.00  0.00  17  13  69
2021 04 07 01 32 28.700  36.4276   26.6244  281.0  3.2          1.28  8.00 13.00 32.00  14   6 141
2021 04 07 00 44 28.090  38.1722   22.6185   10.0  1.9          1.09  2.00  3.00  0.00  20  13  60
2021 04 07 00 41 05.320  38.3721   22.3770    3.0  1.8          0.47  3.00  3.00  8.00  19  14 123
2021 04 07 00 33 45.660  38.9296   26.0815    8.0  2.7          0.36  5.00  3.00  4.00  14  11 115
2021 04 07 00 27 49.060  39.7960   21.9879    2.0  2.0          0.64  2.00  3.00  0.00  16  12  86
2021 04 06 23 48 38.530  39.7528   22.0607    2.0  1.6          0.32  3.00  2.00  0.00  12  10 105
2021 04 06 23 22 57.300  39.7613   22.0520    2.0  1.6          0.36  3.00  2.00  0.00  13  11  56
2021 04 06 23 18 27.780  39.7525   22.1748    2.0  2.4          1.03  2.00  2.00  0.00  37  29  66
2021 04 06 22 57 47.880  38.3591   21.9283    2.0  1.7          0.67  2.00  2.00  0.00  25  19  53
2021 04 06 22 54 26.370  38.2814   22.2017   10.0  1.3          0.97  5.00  3.00  0.00  14  10 186
2021 04 06 22 47 11.680  36.6205   21.7820    7.0  3.0          0.72  5.00  5.00  3.00  33  13 210
2021 04 06 22 21 19.210  39.7400   22.1089    2.0  1.4          0.37  3.00  2.00  0.00  11   9  87
2021 04 06 21 54 22.140  38.3705   22.0639    2.0  1.2          0.60  3.00  2.00  0.00  13  11  91
2021 04 06 21 38 04.920  39.7791   22.1130    2.0  1.5          0.37  3.00  2.00  0.00  11   9  85
2021 04 06 21 22 27.420  38.3616   22.0305    7.0  1.2          0.13  3.00  3.00 13.00  11   9  91
2021 04 06 21 19 26.050  39.7465   22.0974    2.0  1.8          0.43  2.00  2.00  0.00  19  15  46
2021 04 06 21 13 30.470  39.7348   22.1197    2.0  1.2          0.34  3.00  2.00  0.00  11   7  84
2021 04 06 21 01 49.030  36.1083   24.8391   10.0  3.3          1.28 13.00 10.00  0.00   7   7 195
2021 04 06 20 58 29.350  39.7100   22.1764    2.0  2.2          0.70  2.00  2.00  0.00  26  20  66
2021 04 06 20 41 07.360  38.2773   22.1021    2.0  1.6          0.82  2.00  2.00  0.00  22  17  57
2021 04 06 20 21 22.360  39.8073   22.0245   10.0  1.4          0.05  4.00  4.00 25.00  10   8 123
2021 04 06 20 03 33.300  39.7674   21.9690    2.0  1.4          0.47  3.00  3.00  0.00  13   9  87
2021 04 06 19 59 47.870  38.9193   26.1655    8.0  3.3          1.05  3.00  2.00  3.00  50  12  94
2021 04 06 18 01 54.490  39.6606   22.1377    2.0  2.0          0.85  2.00  2.00  0.00  16  11  89
2021 04 06 16 55 22.980  39.8196   21.8212    2.0  2.1          0.86  4.00  5.00  0.00  12   9 178
2021 04 06 16 37 40.140  39.7787   22.0860    4.0  1.7          0.29  4.00  3.00  4.00  11   9  98
2021 04 06 15 54 26.500  39.7164   22.1082   11.0  1.8          0.57  3.00  3.00  4.00  12   7  74
2021 04 06 15 16 17.860  38.3543   22.2595    2.0  2.0          0.46  2.00  2.00  0.00  21  16  58
2021 04 06 14 30 44.890  37.8555   21.1430   10.0  1.8          0.31  3.00  7.00  0.00  13   7 216
2021 04 06 13 50 53.080  39.7300   22.1214   11.0  1.3          0.66  3.00  3.00  3.00  10   6 100
2021 04 06 12 03 19.580  39.7527   22.0652    2.0  1.7          0.35  3.00  2.00  0.00  11   7 103
2021 04 06 11 39 43.760  39.7482   22.1202    2.0  1.5          0.27  3.00  2.00  0.00  10   7  75
2021 04 06 11 32 55.440  38.3584   22.0908    2.0  1.4          0.75  3.00  2.00  0.00  14   9 105
2021 04 06 11 29 10.530  39.7354   22.0081   25.0  1.6          2.37  4.00  3.00  5.00  12   6  61
2021 04 06 09 56 28.550  39.5752   23.5723    6.0  2.7          1.37  2.00  2.00  3.00  32  24  95
