time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-07T09:44:38.719Z,35.37766667,-97.92416667,6.41,3.16,ml,99,31,0,0.2,ok,ok2021gudp,2021-04-07T13:56:17.015Z,"2 km SE of Union City, Oklahoma",earthquake,,0.4,0.34,32,reviewed,ok,ok
2021-04-07T09:40:05.286Z,44.2067,-129.3001,10,3.1,ml,,285,3.817,0.38,us,us6000dzlp,2021-04-07T09:51:52.040Z,"off the coast of Oregon",earthquake,14.5,2,0.052,49,reviewed,us,us
2021-04-07T09:38:48.660Z,36.02,-117.7758333,1.25,0.72,ml,13,64,0.01002,0.18,ci,ci39841632,2021-04-07T09:42:21.291Z,"15km NE of Little Lake, CA",earthquake,0.35,0.4,0.156,9,automatic,ci,ci
2021-04-07T09:37:04.070Z,36.6455,-116.258,8.7,0.2,ml,10,194.01,0.066,0.06,nn,nn00804499,2021-04-07T10:07:12.402Z,"53 km W of Indian Springs, Nevada",earthquake,,0.9,,,automatic,nn,nn
2021-04-07T09:35:19.630Z,37.4121666,-121.7603302,6.61,1.37,md,8,166,0.0398,0.02,nc,nc73546230,2021-04-07T10:44:07.285Z,"8km NE of Alum Rock, CA",earthquake,0.78,0.93,0.02,7,automatic,nc,nc
2021-04-07T09:31:50.950Z,36.0285,-117.779,2.05,0.9,ml,8,116,0.01161,0.1,ci,ci39841624,2021-04-07T09:35:32.553Z,"15km E of Coso Junction, CA",earthquake,0.27,0.19,0.268,9,automatic,ci,ci
2021-04-07T09:30:31.184Z,57.1254,-153.8422,29,1.9,ml,,,,0.35,ak,ak0214gko28l,2021-04-07T09:37:41.124Z,"28 km NE of Akhiok, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-04-07T09:22:01.780Z,36.5003,-115.4102,0.7,1.2,ml,8,298.49,0.595,0.21,nn,nn00804498,2021-04-07T09:38:12.269Z,"24 km ESE of Indian Springs, Nevada",earthquake,,18.9,,,automatic,nn,nn
2021-04-07T09:20:59.099Z,35.1779,-111.6075,5,3.3,ml,,86,0.388,0.73,us,us6000dzln,2021-04-07T10:56:28.660Z,"4 km ESE of Flagstaff, Arizona",earthquake,2.1,1.8,0.035,110,reviewed,us,us
2021-04-07T09:17:23.470Z,36.5415001,-121.1296692,5.47,1.88,md,20,119,0.05406,0.04,nc,nc73546225,2021-04-07T10:19:07.133Z,"2km NE of Pinnacles, CA",earthquake,0.26,0.76,0.19,20,automatic,nc,nc
2021-04-07T08:53:50.540Z,38.1187,-117.9795,9.1,1.5,ml,18,125.75,0.036,0.09,nn,nn00804496,2021-04-07T09:23:54.906Z,"32 km SSE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2021-04-07T08:50:06.890Z,38.1455,-117.963,12.2,1.4,ml,20,132.22,0.021,0.08,nn,nn00804492,2021-04-07T08:54:54.665Z,"30 km SSE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2021-04-07T08:45:03.148Z,59.7288,-152.7382,88.7,0.9,ml,,,,0.24,ak,ak0214gk5spw,2021-04-07T08:47:55.806Z,"51 km W of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-04-07T08:44:32.820Z,35.9576667,-117.6698333,3.68,0.49,ml,12,56,0.01855,0.17,ci,ci39841608,2021-04-07T08:48:06.271Z,"22km E of Little Lake, CA",earthquake,0.41,0.64,0.164,6,automatic,ci,ci
2021-04-07T08:43:39.416Z,60.3625,-141.4709,6.6,1.5,ml,,,,1.12,ak,ak0214gk5fl5,2021-04-07T08:54:06.561Z,"133 km NW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-04-07T08:39:15.150Z,32.882,-115.52,7.18,1.32,ml,12,76,0.03937,0.23,ci,ci39841600,2021-04-07T08:42:49.240Z,"6km NE of Imperial, CA",earthquake,0.67,1.06,0.131,12,automatic,ci,ci
2021-04-07T08:09:56.460Z,34.1231667,-117.4581667,10.79,0.75,ml,17,76,0.09194,0.23,ci,ci39841592,2021-04-07T08:13:46.945Z,"3km N of Fontana, CA",earthquake,0.58,1,0.158,17,automatic,ci,ci
2021-04-07T08:03:27.430Z,36.0245,-117.7688333,1.26,0.85,ml,9,112,0.002982,0.14,ci,ci39841576,2021-04-07T08:06:59.011Z,"16km NE of Little Lake, CA",earthquake,0.32,0.4,0.067,3,automatic,ci,ci
2021-04-07T08:02:16.570Z,36.015,-117.778,0.44,2.15,ml,29,45,0.01451,0.21,ci,ci39841568,2021-04-07T08:06:13.007Z,"14km NE of Little Lake, CA",earthquake,0.28,0.38,0.108,25,automatic,ci,ci
2021-04-07T08:02:04.300Z,36.024,-117.7731667,1.75,0.67,ml,6,114,0.006522,0.04,ci,ci39841560,2021-04-07T08:05:53.092Z,"16km NE of Little Lake, CA",earthquake,0.19,0.24,0.255,3,automatic,ci,ci
2021-04-07T07:57:38.666Z,61.3052,-150.6749,50.4,1.3,ml,,,,0.93,ak,ak0214gjmzzb,2021-04-07T08:01:31.165Z,"27 km SSW of Susitna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-04-07T07:55:36.690Z,19.2115001678467,-155.442840576172,34.3300018310547,1.91999996,md,36,128,,0.140000001,hv,hv72415422,2021-04-07T07:58:57.570Z,"3 km ENE of Pāhala, Hawaii",earthquake,0.67,0.850000024,0.519999981,7,automatic,hv,hv
2021-04-07T07:40:22.455Z,61.6171,-150.3729,48.4,1.4,ml,,,,0.48,ak,ak0214gjjbhz,2021-04-07T07:51:20.056Z,"11 km NE of Susitna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-04-07T07:38:17.070Z,38.8365,-118.6658,4.2,1.6,ml,18,73.93,0.47,0.06,nn,nn00804486,2021-04-07T08:03:14.065Z,"17 km SE of Schurz, Nevada",earthquake,,9.5,,,automatic,nn,nn
2021-04-07T07:35:52.303Z,61.4088,-149.9344,34.3,1.6,ml,,,,0.36,ak,ak0214gjib8e,2021-04-07T07:40:28.725Z,"5 km NNE of Point MacKenzie, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-04-07T07:28:37.027Z,61.3778,-146.8633,30.4,1.4,ml,,,,0.51,ak,ak0214gjgs1i,2021-04-07T07:32:07.597Z,"39 km NW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-07T07:08:22.454Z,58.2673,-154.9846,1.5,1,ml,,,,0.51,ak,ak0214gjcglk,2021-04-07T07:11:55.400Z,"83 km NNW of Karluk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-04-07T07:02:11.030Z,40.7245,-119.5363,0.1,2.1,ml,13,159.04,0.357,0.16,nn,nn00804484,2021-04-07T07:39:13.558Z,"17 km WNW of Gerlach, Nevada",earthquake,,11.6,,,automatic,nn,nn
2021-04-07T06:46:08.000Z,33.9241667,-116.713,14.33,2.08,ml,79,20,0.1129,0.18,ci,ci39841544,2021-04-07T06:57:15.710Z,"7km E of Cabazon, CA",earthquake,0.17,0.35,0.15,26,automatic,ci,ci
